okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0723;7206;M;20-64;;;0;0;0;8-14 dní;Propuštěn;13
CZ0323;3209;M;20-64;1;;1;0;0;8-14 dní;Hospitalizován;1
CZ0422;4203;M;65+;;;1;0;0;3-7 dní;Zemřel;9
CZ0805;8013;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0534;5315;M;20-64;;;0;0;0;2 dny;Propuštěn;2
CZ0204;2010;M;65+;1;1;1;0;0;3-7 dní;Hospitalizován;1
CZ0721;7201;M;20-64;;;1;0;0;8-14 dní;Propuštěn;7
CZ0715;7106;M;0-19;;;0;0;0;1 den;Propuštěn;1
CZ0711;7102;Z;65+;1;1;1;1;0;8-14 dní;Propuštěn;1
CZ0723;7206;Z;65+;;;0;0;0;2 dny;Hospitalizován;1
CZ0713;7108;M;65+;1;1;1;0;0;3-7 dní;Propuštěn;4
CZ0641;6402;M;20-64;1;1;1;1;0;15+ dní;Propuštěn;2
CZ0642;6403;M;65+;1;1;0;0;0;15+ dní;Propuštěn;1
CZ0643;6409;Z;65+;;;0;0;0;15+ dní;Propuštěn;2
CZ0525;5215;Z;65+;;;0;0;0;2 dny;Propuštěn;2
CZ0313;3105;M;65+;;;1;0;0;8-14 dní;Propuštěn;21
CZ0323;9999;Z;65+;;;1;0;0;1 den;Zemřel;1
CZ0427;4214;Z;65+;;;1;0;0;2 dny;Hospitalizován;2
CZ0209;2003;M;65+;;1;1;0;0;8-14 dní;Propuštěn;5
CZ0422;4203;M;65+;;;0;0;0;8-14 dní;Propuštěn;12
CZ020A;2005;Z;65+;;;0;0;0;15+ dní;Propuštěn;13
CZ0723;9999;Z;65+;;;1;0;0;3-7 dní;Zemřel;1
CZ0634;6307;Z;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0647;6420;M;65+;1;1;1;1;0;3-7 dní;Zemřel;5
CZ0801;8014;M;65+;;;1;0;0;8-14 dní;Zemřel;3
CZ0532;5311;M;20-64;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0712;7107;Z;65+;;;0;0;0;2 dny;Zemřel;1
CZ0425;4209;Z;65+;;;1;0;0;8-14 dní;Propuštěn;49
CZ0635;6308;M;65+;;1;1;0;0;3-7 dní;Zemřel;1
CZ0201;2001;M;65+;;1;1;0;0;15+ dní;Zemřel;1
CZ0712;7107;M;65+;1;1;0;1;0;8-14 dní;Zemřel;4
CZ0427;4214;M;65+;1;1;1;1;0;15+ dní;Zemřel;3
CZ0642;6403;M;20-64;1;1;0;1;1;15+ dní;Propuštěn;1
CZ020C;2021;M;20-64;;1;1;0;0;15+ dní;Propuštěn;1
CZ0412;4106;Z;20-64;;;0;0;0;8-14 dní;Propuštěn;6
CZ0311;3113;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;2
CZ0525;5214;M;65+;1;1;1;1;0;15+ dní;Hospitalizován;7
CZ020A;2005;M;65+;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0322;3214;M;20-64;1;1;1;1;0;8-14 dní;Propuštěn;1
CZ0801;8003;Z;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0646;6415;M;20-64;;;0;0;0;3-7 dní;Propuštěn;6
CZ0806;8019;M;65+;;1;1;0;0;1 den;Zemřel;1
CZ0322;3214;M;20-64;;;0;0;0;8-14 dní;Propuštěn;2
